date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-07-22,301165.4553323537,480,465,233,5,27227.78,41800.298307000005,15856.141559
2021-07-23,267801.9844107212,445,476,233,12,24731.78,42318.340934,14348.520829999998
2021-07-24,105385.81046048511,435,467,271,6,20510.590000000004,43460.73040100001,15817.347932
2021-07-25,37438.20222246712,481,462,313,12,20580.589999999997,41246.40277900001,15989.866882
2021-07-26,339130.38637981063,715,439,364,10,30721.72,38752.635985,17749.904345000003
2021-07-27,349961.6442603927,659,460,282,14,30134.609999999997,40421.492547999995,16906.736487000002
2021-07-28,348666.4445509771,746,412,317,10,32616.309999999998,36554.81672,17601.141273
2021-07-29,310187.4541284659,718,387,264,14,31844.329999999998,36932.980435,16693.348973
2021-07-30,356584.39761287835,581,417,283,13,26874.510000000002,38265.163973999996,16209.314605000001
2021-07-31,188761.97096667427,500,437,309,3,20752.0,39758.010393,17488.622045
2021-08-01,44894.40000000001,620,497,333,8,25496.809999999998,36506.116763,17670.558524
2021-08-02,286952.77430739906,813,427,273,8,34685.520000000004,35437.774569,17756.819616
2021-08-03,229577.67691392786,762,511,193,8,34146.9,43216.645522000006,10815.086662
2021-08-04,286350.79997666413,753,464,198,18,30743.47,40747.463569,12238.251357
2021-08-05,308070.1013389928,763,432,223,8,31079.970000000005,40069.125797,12744.052353000001
2021-08-06,288067.40065535414,571,391,206,9,27177.65,37412.071640999995,15735.84058
2021-08-07,60650.52915016432,449,377,232,4,21725.88,41724.521569000004,13398.480884
2021-08-08,53058.318527368036,527,372,213,6,24766.39,38481.457860999995,13114.422139999999
2021-08-09,247930.3477031254,684,360,193,5,32036.43,35212.761587999994,14476.543151
2021-08-10,289341.1656494057,572,395,202,10,29072.04,36431.632687000005,14477.792602999998
2021-08-11,280297.1913626662,569,349,224,11,25799.340000000004,35180.555064,15763.419219
2021-08-12,251141.2839042889,673,472,237,8,25147.07,34418.34550100001,16481.736538000005
2021-08-13,210625.91690143425,500,648,194,8,22107.129999999997,36852.939882,14121.689976
2021-08-14,72511.80034219826,418,500,215,9,16998.33,36834.051462999996,17144.969030999997
2021-08-15,46203.45744004769,503,462,224,7,21166.84,32838.060797,18253.249952
2021-08-16,283678.8339727693,808,585,291,13,28832.789999999997,32811.937794,16596.042913999998
2021-08-17,222220.53021146904,817,552,373,15,26823.189999999995,37020.050188999994,14354.846339
2021-08-18,237142.58629240695,833,606,477,11,28817.48,38826.52193,14577.626130000004
2021-08-19,254729.19198602892,811,570,390,14,30348.739999999994,38743.339976,13891.429698
2021-08-20,394847.39135566354,708,570,381,15,25947.11,38387.93703200001,13851.345629
2021-08-21,70606.53230744158,579,556,417,8,20309.960000000003,40872.114416,14081.831944
2021-08-22,46244.52299864201,709,571,456,14,24868.699999999997,38599.17738,14087.810117
2021-08-23,340542.78091150196,1104,575,416,17,38406.259999999995,35009.045763999995,16244.156881000003
2021-08-24,336701.8064784647,987,542,341,22,39641.96000000001,37984.514021999996,14834.619225000002
2021-08-25,357076.6148025275,991,535,318,9,39204.729999999996,37601.875186000005,15189.581710999999
2021-08-26,412569.9559300785,925,578,262,9,38803.600000000006,38115.577199,15999.815542999999
2021-08-27,342841.84865813906,804,482,250,18,30983.82,38890.413397000004,16063.790620000002
2021-08-28,131298.6232982123,579,522,293,8,21893.620000000003,42443.718658,16667.88134
2021-08-29,67861.58250798465,758,551,305,14,25735.69,39063.406067,16480.389669
2021-08-30,519638.9975180747,1068,537,378,20,36905.86000000001,36019.103741,17979.68749
2021-08-31,707749.8745356327,1110,587,324,25,37830.14,38460.994599000005,16500.372613000003
2021-09-01,365344.5918078702,1139,556,472,11,40073.27,36721.56843500001,17784.924435999998
2021-09-02,369284.89396527136,1315,509,386,20,43513.8,36544.870845,17111.017958
2021-09-03,356818.12112164765,1097,567,248,13,34954.13,39717.73187,12699.869430000002
2021-09-04,115564.93850052511,831,602,300,4,27053.269999999993,41554.753174,13380.727478999997
2021-09-05,73809.85400496825,929,558,313,14,30486.95,39965.434351,13894.342267
2021-09-06,463613.9286971762,1572,642,403,32,50051.939999999995,41500.683596999996,17042.784470000002
2021-09-07,390061.6187712883,1378,669,354,53,39481.59,44846.572976999996,17631.690278000002
2021-09-08,464324.76624417596,1369,679,322,43,35999.39000000001,47291.128128000004,16029.730906
2021-09-09,426050.2517892969,1209,687,333,26,33226.01,48484.925993,14618.984481
2021-09-10,504345.2395935005,1046,629,244,21,28479.809999999994,50860.246849,12102.540079000002
2021-09-11,172069.91424993591,851,638,297,11,22645.91,51420.14084,14175.185656999998
2021-09-12,144878.76632654344,932,665,381,13,25995.49,47718.543808,14426.890588
2021-09-13,392750.7580211897,1429,626,398,27,39661.93,44989.66079995459,16773.559393
2021-09-14,514370.5768000508,1572,684,363,16,42561.880000000005,49663.182092954594,16692.846653
2021-09-15,460822.06156939175,1444,709,354,25,43179.84,47742.577703954594,17578.135788
2021-09-16,443344.2253321771,1320,591,269,21,43118.09,48232.17705599999,15059.758212000004
2021-09-17,583264.2059297829,993,520,322,23,36606.920000000006,43033.171343,17466.959242999998
2021-09-18,170946.6574095729,862,522,328,9,26886.43,43998.253704,17993.285188
